id,name,email,course,grade,gpa,enrollment_date,department,year
1,Alisa Pfannerstill,alisapfannerstill@university.edu,History,B,3.390000000000000124344978758017532527446746826171875,2024-08-07,Medicine,2
2,Usha Wilderman,ushawilderman@university.edu,Mathematics,C,1.729999999999999982236431605997495353221893310546875,2025-01-30,Science,4
3,Joselyn Zboncak,joselynzboncak@university.edu,Chemistry,B-,0.54000000000000003552713678800500929355621337890625,2023-11-19,Medicine,1
4,Anissa Hoppe,anissahoppe@university.edu,English,C-,0.2800000000000000266453525910037569701671600341796875,2025-04-22,Medicine,2
5,Burl Bogan,burlbogan@university.edu,Biology,B,2.62000000000000010658141036401502788066864013671875,2023-02-28,Engineering,3
6,Emery Weimann,emeryweimann@university.edu,Biology,B+,3.8300000000000000710542735760100185871124267578125,2026-06-02,Business,3
7,Beata Muller,beatamuller@university.edu,English,A-,3.9900000000000002131628207280300557613372802734375,2023-10-24,Science,2
8,Johnie Stark Sr.,johniestarksr.@university.edu,English,C-,2.149999999999999911182158029987476766109466552734375,2024-09-30,Business,4
9,Micah Gleichner III,micahgleichneriii@university.edu,Economics,F,3.0800000000000000710542735760100185871124267578125,2026-03-16,Law,3
10,Levi Feest,levifeest@university.edu,History,C+,1.0100000000000000088817841970012523233890533447265625,2026-08-21,Business,2
11,Erich Murray,erichmurray@university.edu,Chemistry,C,2.399999999999999911182158029987476766109466552734375,2025-01-04,Science,3
12,Gigi Turcotte,gigiturcotte@university.edu,CS,C,2.62999999999999989341858963598497211933135986328125,2023-02-17,Law,3
13,Jerrold Corwin,jerroldcorwin@university.edu,Biology,B-,0.689999999999999946709294817992486059665679931640625,2025-02-28,Science,2
14,Bethann Crona IV,bethanncronaiv@university.edu,English,C,1.9199999999999999289457264239899814128875732421875,2025-03-10,Science,4
15,Becki Witting Jr.,beckiwittingjr.@university.edu,CS,A+,1.7399999999999999911182158029987476766109466552734375,2025-07-19,Engineering,3
16,Reatha Kunde,reathakunde@university.edu,Biology,A+,0.2099999999999999922284388276239042170345783233642578125,2024-10-25,Law,4
17,Janise Koss I,janisekossi@university.edu,Chemistry,C,0.190000000000000002220446049250313080847263336181640625,2024-08-28,Science,2
18,Adeline Roob,adelineroob@university.edu,Mathematics,C-,3.520000000000000017763568394002504646778106689453125,2023-06-29,Law,4
19,Celeste Kohler,celestekohler@university.edu,English,A+,3.350000000000000088817841970012523233890533447265625,2023-05-01,Arts,1
20,Eleanora Kuphal,eleanorakuphal@university.edu,Economics,A-,3.310000000000000053290705182007513940334320068359375,2025-03-17,Medicine,1
21,Raymon Bayer I,raymonbayeri@university.edu,English,D,3.339999999999999857891452847979962825775146484375,2024-05-20,Engineering,1
22,Rhoda Hauck,rhodahauck@university.edu,Chemistry,F,0.11999999999999999555910790149937383830547332763671875,2024-07-01,Law,2
23,Lona Schneider,lonaschneider@university.edu,History,B+,3.75,2023-11-09,Arts,4
24,August Quitzon DVM,augustquitzondvm@university.edu,Physics,B+,2.12999999999999989341858963598497211933135986328125,2024-09-21,Arts,1
25,Gerardo Nader,gerardonader@university.edu,History,B+,0.11999999999999999555910790149937383830547332763671875,2025-08-05,Arts,2
26,German Schultz,germanschultz@university.edu,Chemistry,B+,1.520000000000000017763568394002504646778106689453125,2025-03-03,Law,1
27,Wendell Price,wendellprice@university.edu,Biology,C+,0.67000000000000003996802888650563545525074005126953125,2024-07-29,Arts,1
28,Mr. Jess Barrows,mr.jessbarrows@university.edu,History,B,2.5,2026-02-25,Business,2
29,Nieves Jenkins,nievesjenkins@university.edu,CS,C+,2.770000000000000017763568394002504646778106689453125,2024-02-03,Arts,3
30,Carlota Armstrong,carlotaarmstrong@university.edu,CS,A-,2.839999999999999857891452847979962825775146484375,2024-03-05,Law,3
31,Lester Hand,lesterhand@university.edu,Chemistry,A-,2.910000000000000142108547152020037174224853515625,2025-02-05,Arts,3
32,Mrs. Oliver Wiza,mrs.oliverwiza@university.edu,English,C,3.95999999999999996447286321199499070644378662109375,2026-04-27,Engineering,3
33,Roma Paucek,romapaucek@university.edu,Mathematics,A,0.08000000000000000166533453693773481063544750213623046875,2023-03-07,Science,2
34,Willetta Fisher,willettafisher@university.edu,History,B+,2.62000000000000010658141036401502788066864013671875,2024-06-30,Science,4
